Package,Name,Version,Architecture
com.nan.16player.zh-hans,zh-Hans for 16Player,0.1.0,iphoneos-arm64e
com.nan.aaaa,Add AppBundles and AppDataContainers,0.2.0-1,iphoneos-arm64e
com.nan.aential,Aential,0.1.0,iphoneos-arm64e
com.nan.allemand,Allemand,0.1.0,iphoneos-arm64e
com.nan.allemand-filza-script,FilzaScript Allemand,0.1.0,iphoneos-arm64e
com.nan.alwaysdefaultbash,Always Default Bash,0.1.4,iphoneos-arm
com.nan.appindex.zh-hans,zh-Hans for AppIndex,0.1.2,iphoneos-arm64e
com.nan.bark,bark,0.3.2,iphoneos-arm64e
com.nan.bindfs,mount_bindfs (Dopamine),0.5.5-1,iphoneos-arm64e
com.nan.bindfs-xina,mount_bindfs (xina),0.1.2,iphoneos-arm64e
com.nan.bioprotectxs.zh-hans,zh-Hans for BioProtect XS,0.1.0,iphoneos-arm
com.nan.bootlogo.checkra1n,checkra1n-Bootlogo,0.1.3,iphoneos-arm64e
com.nan.ccah,Change CC Auto Height,0.1.1,iphoneos-arm
com.nan.ccul,CC Unlock,0.1.0,iphoneos-arm
com.nan.chang-taurine-permanent,chang taurine-permanent,0.1.3-2,iphoneos-arm
com.nan.choicy.zh-hans,zh-Hans for Choicy,0.1.1,iphoneos-arm64e
com.nan.crane.zh-hans,zh-Hans for Crane,0.1.0-4,iphoneos-arm64e
com.nan.cy+cpu.arm64,cy+cpu.arm64,0.1.0,iphoneos-arm
com.nan.cydown.zh-hans,zh-Hans for CyDown,0.1.0,iphoneos-arm
com.nan.darkshot.zh-hans,zh-Hans for DarkShot,0.1.0,iphoneos-arm
com.nan.deb,deb,0.3.0,iphoneos-arm64e
com.nan.debd,debd,0.4.0,iphoneos-arm64e
com.nan.deb-filza-script-b,FilzaScript deb -b,0.1.0,iphoneos-arm64e
com.nan.deb-filza-script-b-gzip,FilzaScript deb -b gzip,0.1.0,iphoneos-arm64e
com.nan.deb-filza-script-b-xz,FilzaScript deb -b xz,0.1.0,iphoneos-arm64e
com.nan.deb-filza-script-r,FilzaScript deb -r,0.1.0,iphoneos-arm64e
com.nan.disablelowpoweralerts,Disable LowPower Alerts,0.1.0,iphoneos-arm64e
com.nan.disablesblockaftercrash,Disable SB Lock After Crash,0.1.0,iphoneos-arm64e
