Package,Name,Version,Architecture
app.weiphone.ucflag,UCFlag微博QQ小尾巴手机标识修改,8.0.11,iphoneos-arm64
app.weiphone.ucstep,UCStep一键运动步数生成器,6.0.5,iphoneos-arm64
chaoge.chargelimiter,ChargeLimiter,1.7,iphoneos-arm64
cm90.crossoveripc,CrossOverIPC ~ Rootless,1.2-1,iphoneos-arm64
cn.llld.qsyy,FloatingReplacement悬浮替换翻译汉化,1.2,iphoneos-arm64
cn.tinyapps.antitracker,AntiTracker(查岗报警器)-Alerts you when tracked by others in real time,2.2,iphoneos-arm64
cn.tinyapps.location360pro,360虚拟定位[企业版](Fake Location Pro),3.0.10,iphoneos-arm64
cn.tinyapps.renet,连个锤子-越狱联网一键修复[iOS 10.0~16+],1.2.2,iphoneos-arm64
cn.tinyapps.respringassistant,Respring Assistant-Rootless无根越狱(快速注销+联网修复) - Restart your SpringBoard QUICKLY Refresh App Icons EASILY Restore network,1.7.1,iphoneos-arm64
cn.tinyapps.rst,361一键新机(MultiAccount Master)-全系统(iOS 7/8/9/10/11/12/13/14/15/16)一键改串,2.4.2.2,iphoneos-arm64
cn.tinyapps.wxtones,微信炫铃-一键设定个性化微信提示音(Customized Tones for WeChat),3.0,iphoneos-arm64
cn.tinyapps.xgpspro,Fake GPS Pro(定位修改器)-FAKE your iPhone's location as you wish,4.6.8,iphoneos-arm64
cn.zqbb.disupdateapp,BlockAppUpdate 屏蔽App Store更新,2.0.0-6,iphoneos-arm64
cn.zqbb.hello.memorystatus,Hello Memory Status,3.3.3-5,iphoneos-arm64
cn.zqbb.hello.qactions,Hello QActions,1.3.0-1,iphoneos-arm64
cn.zqbb.holdcpu,Hello CPU,2.3.5-3,iphoneos-arm64
cn.zqbb.orzfolder,Hello Folder,1.6.1-3,iphoneos-arm64
com.0xkuj.blockwaupdates,Block WA Updates,1.1,iphoneos-arm64
com.0xkuj.deleteallalarms,GlobAlarmSettings,2.0.2,iphoneos-arm64
com.bi8abo.dingtalk,钉钉助手-Rootless,1.0.3,iphoneos-arm64
com.cannathea.afc2d-arm64,Apple File Conduit "2" (iOS 11+ arm64),1.2.1,iphoneos-arm64
com.conradkramer.open,Open,1.1.1-1,iphoneos-arm64
com.crazymind90.appeditor,AppEditor,3.8.10.7,iphoneos-arm64
com.crazymind90.keyboardtools,KeyboardTools,1.4,iphoneos-arm64
com.crazymind90.killbundle,KillBundle,1.4,iphoneos-arm64
com.cydiageek.abetterprivacyforwhatsapp,ABetterPrivacyforWhatsApp,1.6.4,iphoneos-arm64
com.cydiageek.alwayseditpages,AlwaysEditPages,1.0.1,iphoneos-arm64
com.cydiageek.appcountswitcher,AppCountSwitcher,1.0.0,iphoneos-arm64
com.cydiageek.batteryfoldertitle,BatteryFolderTitle,1.1.5,iphoneos-arm64
com.cydiageek.byebadges,ByeBadges,1.1.4,iphoneos-arm64
com.cydiageek.byehomebottombarx,ByeHomeBottomBarX,1.3.7,iphoneos-arm64
com.cydiageek.byeseparatorscell,ByeSeparatorsCell,1.1.3,iphoneos-arm64
com.cydiageek.cclessstatusbar,CCLessStatusBAR,1.0.4,iphoneos-arm64
com.cydiageek.chargingbanner,ChargingBanner,1.0.0,iphoneos-arm64
com.cydiageek.clearpipbg,ClearPiPBG,1.0.0,iphoneos-arm64
com.cydiageek.color3dicons,Color3DIcons,1.0.3,iphoneos-arm64
com.cydiageek.confirmtosend,ConfirmToSend,1.1.6,iphoneos-arm64
com.cydiageek.copyrecentsmaps,CopyRecentsMaps,1.0.0,iphoneos-arm64
com.cydiageek.coysim,CoySIM,1.6.6,iphoneos-arm64
com.cydiageek.cthulhu,Cthulhu,1.1.0,iphoneos-arm64
com.cydiageek.customcallbackground,CustomCallBackground,1.0.4,iphoneos-arm64
com.cydiageek.customlpm,CustomLPM,1.0.3,iphoneos-arm64
com.cydiageek.dailyfullscreenconfirm,DailyFullscreenConfirm,1.0.0,iphoneos-arm64
com.cydiageek.denyphotoalbums,DenyPhotoAlbums,1.2.0,iphoneos-arm64
com.cydiageek.discreetvoicememos,discreetVoiceMemos,1.1.2,iphoneos-arm64
com.cydiageek.donetolock,DoneToLock,1.0.0,iphoneos-arm64
com.cydiageek.doubletaptolock,DoubleTapToLock,1.0.3,iphoneos-arm64
com.cydiageek.ermete,Ermete,1.0.5,iphoneos-arm64
com.cydiageek.fastdeletekey,FastDeleteKey,1.0.4,iphoneos-arm64
com.cydiageek.flashy,Flashy,1.0.3,iphoneos-arm64
com.cydiageek.glowy,Glowy,1.0.3,iphoneos-arm64
com.cydiageek.gyration,Gyration,1.1.5,iphoneos-arm64
com.cydiageek.gyrationapps,GyrationApps,1.0.1,iphoneos-arm64
com.cydiageek.hapticsleep,HapticSleep,1.0.2,iphoneos-arm64
com.cydiageek.hidecallbar,HideCallBar,1.0.0,iphoneos-arm64
com.cydiageek.hidesearchbutton,HideSearchButton,1.0.1,iphoneos-arm64
com.cydiageek.huebatterybar,hueBatterybar,1.0.4,iphoneos-arm64
com.cydiageek.igimagesave,IGImageSave,1.0.1,iphoneos-arm64
com.cydiageek.ipdisabledtextaddress,IPDisabledTextAddress,1.0.0,iphoneos-arm64
com.cydiageek.killinappsscreenshot,KillinAppsScreenshot,1.0.9,iphoneos-arm64
com.cydiageek.lazycursor,LazyCursor,1.0.3,iphoneos-arm64
com.cydiageek.lpmnochargingsound,LPMNoChargingSound,1.0.0,iphoneos-arm64
com.cydiageek.lpmnowakewhencharge,LPMNoWakeWhenCharge,1.0.1,iphoneos-arm64
com.cydiageek.lpmonscreenshot,LPMonScreenshot,1.0.0,iphoneos-arm64
com.cydiageek.marina,Marina,1.2.4,iphoneos-arm64
com.cydiageek.messagedatetime,MessageDateTime,1.0.0,iphoneos-arm64
com.cydiageek.morelinesnotifications,MoreLinesNotifications,1.0.5,iphoneos-arm64
com.cydiageek.msgnometacircle,MSGNoMetaCircle,1.0.0,iphoneos-arm64
com.cydiageek.myautolock,MyAutoLock,1.0.0,iphoneos-arm64
com.cydiageek.myccstatuslabel,MyCCStatusLabel,1.0.1-1,iphoneos-arm64
com.cydiageek.myscrollingbars,MyScrollingBars,1.0.1,iphoneos-arm64
com.cydiageek.myswitches,MySwitches,1.0.7,iphoneos-arm64
com.cydiageek.ncheaderpercent,NCHeaderPercent,1.0.1,iphoneos-arm64
com.cydiageek.nobannerdismiss,NoBannerDismissTimer,1.0.1,iphoneos-arm64
com.cydiageek.nocoloreddots,NoColoredDots,1.0.1,iphoneos-arm64
com.cydiageek.noedgeswipe,NoEdgeSwipe,1.0.1,iphoneos-arm64
com.cydiageek.noeditpages,NoEditPages,1.0.1,iphoneos-arm64
com.cydiageek.nohuddismisstimer,NoHUDDismissTimer,1.0.0,iphoneos-arm64
com.cydiageek.noigshareoptionscontroller,NoIGShareOptionsController,1.0.0,iphoneos-arm64
com.cydiageek.nomoredisabled,NoMoreDisabled,1.0.3,iphoneos-arm64
com.cydiageek.norecentsconfirm,NoRecentsConfirm,1.0.0,iphoneos-arm64
com.cydiageek.nowachannelsviewcell,NoWAChannelsViewCell,1.0.7,iphoneos-arm64
com.cydiageek.nowakewhencharge,NoWakeWhenCharge,1.0.2,iphoneos-arm64
com.cydiageek.nowalinkpreviews,NoWALinkPreviews,1.0.0,iphoneos-arm64
com.cydiageek.nowareactions,NoWAReactions,1.0.1,iphoneos-arm64
com.cydiageek.nowashuttersound,NoWAShutterSound,1.0.0,iphoneos-arm64
com.cydiageek.openalphabeticlistconfirm,OpenAlphabeticListConfirm,1.0.1,iphoneos-arm64
com.cydiageek.passcodepercent,PasscodePercent,1.0.0,iphoneos-arm64
com.cydiageek.percenttimepulsate,PercentTimePulsate,1.0.2,iphoneos-arm64
com.cydiageek.phonebrighter,PhoneBrighter,1.0.1,iphoneos-arm64
com.cydiageek.playmusiconrecord,PlayMusicOnRecord,1.0.4,iphoneos-arm64
com.cydiageek.reachcolorlock,ReachColorLock,1.0.1,iphoneos-arm64
com.cydiageek.recordconfirm,RecordConfirm,1.0.0,iphoneos-arm64
com.cydiageek.shortswipe,ShortSwipe,1.0.1,iphoneos-arm64
com.cydiageek.shycc,ShyCC,1.0.1,iphoneos-arm64
com.cydiageek.shyncapps,ShyNCApps,1.0.0,iphoneos-arm64
com.cydiageek.shynotificationsapps,ShyNotificationsApps,1.0.0,iphoneos-arm64
com.cydiageek.skinnysettings,SkinnySettings,1.6.7,iphoneos-arm64
com.cydiageek.smartdeletealbum,SmartDeleteAlbum,1.0.0,iphoneos-arm64
com.cydiageek.smoothlockx,SmoothLockX,1.5.0,iphoneos-arm64
com.cydiageek.spotiplaypauseconfirm,SpotiPlayPauseConfirm,1.0.1,iphoneos-arm64
com.cydiageek.spotlightfolderjump,SpotlightFolderJump,1.0.0,iphoneos-arm64
com.cydiageek.spotlightless11,Spotlightless11,1.1.7,iphoneos-arm64
com.cydiageek.springanimations,SpringAnimations,1.1.1,iphoneos-arm64
