Package,Name,Version,Architecture
com.nan.3dbadgeclear,3DBadgeClear,1.6.8,iphoneos-arm
com.nan.apfs-deletefs,APFS Deletefs,0.2.1,iphoneos-arm
com.nan.apfs-snapshot,APFS Snapshot,0.1.0,iphoneos-arm
com.nan.appdatamanager,Apps Manager,1.6.0-2,iphoneos-arm
com.nan.appstoreplusplus,AppStore++,0.9.12,iphoneos-arm
com.nan.backgrounderaction12,BackgrounderAction for CCSupport,0.1.0,iphoneos-arm
com.nan.backgrounderaction13,BackgrounderAction2 for CCSupport,0.1.3,iphoneos-arm
com.nan.bettercc,BetterCC,0.0.5-wu,iphoneos-arm64
com.nan.betterccxi,BetterCCXI,1.6.0,iphoneos-arm
com.nan.betterccxi-150,BetterCCXI (1.5.0),1.5.0,iphoneos-arm
com.nan.bfdecrypt,bfdecrypt,1.3.2,iphoneos-arm
com.nan.bolders,Bolders,1.0.1,iphoneos-arm
com.nan.bounceit,Bounce It,1.0.4,iphoneos-arm
com.nan.ccpower,CCPower,1.9-4,iphoneos-arm64
com.nan.cocoatop64,CocoaTop64,2.2.3-nan,iphoneos-arm64
com.nan.colorizeios,ColorizeiOS,0.0.1-47+debug,iphoneos-arm
com.nan.colorsios,Colors iOS,1.0.1,iphoneos-arm
com.nan.conditionalwifi4,ConditionalWiFi4,1.0.0,iphoneos-arm
com.nan.coolcc,CoolCC,1:3.0,iphoneos-arm
com.nan.coolcc-reborn,CoolCC Reborn,2.0-1,iphoneos-arm64
com.nan.coolfolder,CoolFolder,2.7-2,iphoneos-arm
com.nan.cracktool3,CrackTool3,3.0~beta11,iphoneos-arm
com.nan.cracktool4,CrackTool4,4.0~beta9e,iphoneos-arm
com.nan.cydown,CyDown,7.1.1,iphoneos-arm
com.nan.dark-keyboard,Dark Keyboard,0.1.0,iphoneos-arm
com.nan.datameter,DataMeter,1.4-3,iphoneos-arm
com.nan.deleteforever,DeleteForever,0.0.1-57,iphoneos-arm
com.nan.disablealerts,DisableAlerts,2.4.1,iphoneos-arm
