Package,Name,Version,Architecture
app.catscript.lite,CatScript Lite,1.5.5,iphoneos-arm64
app.catscript.pro,CatScript,1.5.5,iphoneos-arm64
awzedesign.bobodark,Bobo Dark,1.1,iphoneos-arm64
awzedesign.ilitgh,iLitgh,1.2,iphoneos-arm64
awzedesign.swika,Swika,1.2,iphoneos-arm64
awzedesign.zenira,Zenira,1.1,iphoneos-arm64
chaoge.ChargeLimiter,ChargeLimiter,1.7,iphoneos-arm64
ch.xxtou.hudapp.jb,TrollSpeed JB,1.12.0,iphoneos-arm64
ch.xxtou.xxtouch,XXTouch Elite,5.4.2,iphoneos-arm64
com.23aaron.zeze,ZEZE,1.9.1,iphoneos-arm64
com.3h6-1.imread,IMRead,1.2,iphoneos-arm64
com.82flex.iconrestore,Icon Restore,1.7,iphoneos-arm64
com.82flex.noredirect,No Redirect,2.1,iphoneos-arm64
com.82flex.ohmyinsets,Oh My Insets,1.2,iphoneos-arm64
com.82flex.removewidgetbg,Remove Widget Background,2.0,iphoneos-arm64
com.82flex.singlemute,Single Mute,1.7,iphoneos-arm64
com.82flex.singlevpn,Single VPN,2.0,iphoneos-arm64
com.82flex.touchvis,Touch-Viz,4.0.2,iphoneos-arm64
com.82flex.trollvnc,TrollVNC JB,3.1-2,iphoneos-arm64
com.adamseiter.animationsbefastplus,AnimationsBeFastPlus,5.1,iphoneos-arm
com.adamseiter.animplus,AnimPlus,2.5,iphoneos-arm
com.ali.aim,AIM,1.3.1,iphoneos-arm64
com.ali.aimpro,AIM Pro,1.1,iphoneos-arm64
com.alimaulana.ciru,Ciru,1.2,iphoneos-arm64
com.ali.waktos,Waktos,1.0.1,iphoneos-arm
com.ali.waktos2,Waktos 2,1.0,iphoneos-arm64
com.alphastream.fladient,Fladient,1.3,iphoneos-arm64
com.alphastream.resonance,Resonance,1.0.1,iphoneos-arm64
com.amara.sherbet,Sherbet,1.3.5,iphoneos-arm64
com.amara.unicorn,Unicorn,1.0.2,iphoneos-arm64
com.amywhile.aemulo,Aemulo,1.2.5,iphoneos-arm64
com.amywhile.aemulotrial,Aemulo (Trial),1.2.5,iphoneos-arm64
com.amywhile.ccpatch13,CCPatch13,4.0.0,iphoneos-arm64
com.aviorrok.jumi,Jumi,2.1.2,iphoneos-arm64
com.aviorrok.rupii,Rupi,1.1,iphoneos-arm64
com.bank5ia.iosx,iOSX,0.6.1,iphoneos-arm64
com.BeBarhoum.Horias,Horias,2.1,iphoneos-arm64
com.BeBarhoum.Lucent,Lucent,2.3,iphoneos-arm64
com.bengiannis.complications,Complications,4.0,iphoneos-arm
com.bengiannis.manta,Manta,1.0.3,iphoneos-arm
com.bengiannis.velaris,Velaris,1.1,iphoneos-arm
com.bossgfx.elysian,Elysian,1.4,iphoneos-arm64
com.bousrih.Blackviola,Viola Black,1.3,iphoneos-arm64
com.bousrih.Darkviola,Viola Dark,1.9.4,iphoneos-arm64
com.bousrih.Lyre,LyreCC,1.1,iphoneos-arm64
com.bousrih.viola,Viola,1.9.7,iphoneos-arm64
com.bousrih.violaglyphs,Viola Glyphs,1.4,iphoneos-arm64
com.bousrih.violaWhite,Viola White,1.8,iphoneos-arm64
com.cachetes.col0rant,Col0rant,1.1,iphoneos-arm64
com.cachetes.oxyg3n,Oxyg3n,2.4,iphoneos-arm64
com.cannathea.pasithea2,Pasithea 2 (iOS 10 to 14),2.2.9,iphoneos-arm
com.captmegacharlie.hazmat,Hazmat,1.1,iphoneos-arm
