Package,Name,Version,Architecture
com.m4fn3.badgecolorfix17,BadgeColorFix17,1.0.0,iphoneos-arm64
com.m4fn3.gommirativ,Gommirativ,1.0.0,iphoneos-arm64
com.m4fn3.k2ge3,K2ge3,1.0.6,iphoneos-arm64
com.m4fn3.k2ge3air,K2ge3Air,1.0.7,iphoneos-arm64e
com.m4fn3.k2gecamen,K2gecamen,1.0.5,iphoneos-arm64e
com.m4fn3.k2geisland,K2geIsland,1.0.0,iphoneos-arm64
com.m4fn3.k2genmity,K2genmity,2.0.1,iphoneos-arm64
com.m4fn3.myrtle,Myrtle,1.2.6,iphoneos-arm64e
com.strejda603.documentsbyreaddlepremium,Documents by Readdle (Plus),1.0.1,iphoneos-arm64
com.subdiox.ufjpatch,UFJ Patch,1.0,iphoneos-arm64
